Row No.,Housing Delivery Agency,Project Name:,Phase/ Bldg/Address/B+L,Total Units,100% Affordable Units,PTS BLDG Description+Additional Land Use Description,Permit Type,Building Permit No.,DBI Arrival/ Intake Date,Target Permit Issuance Date,Project Permit Status,Timing/ Priority Context,Planning,DBI,SFFD,Public Works,SFPUC,MOD,Housing Delivery Agency 1
23,OEWD,PLUMBER'S UNION,"Colton Affordable

53 Colton Street/3505-027",96,96,"TO ERECT 6 STORIES, 1 BASEMENT, TYPE III-A OVER I-A, 96 UNITS RESIDENTIAL WITH OFFICE, ASSEMBLY & PARKING BUILDING. (R-2,B,A-3,S-2) (MAYOR EXECTIVE DIR# 13-01 & 17-02)",Site Permit,201911127017,11/12/19,2020-04-12T00:00:00.000,"Site Permit open at step 2 (BLDG), step 3 (PLANNING), and step 4 (SFFD) of 9",Start of Construction Summer 2020,"APPROVED for Site Permit on 01/16/20.

Routed to Planning on 11/12/19.

When will Linda Ajello-Hoagland began review on 12/26/19.","Routed to BLDG on 11/12/19.

Carey McElroy started review on 12/20/19. Currently in-hold as of 12/20/19.

Were comments issued on 12/20/19 and pending Developer Response? James investigating as of 01/16/20.

James Addressing 30 Otis Project's use of 53 Colton for Shoring Permit (as of 01/16/20)?","Routed to SFFD on 11/12/19.


FPE Kamal Andrawes began review on 12/09/19. Comments issued on 12/13/19, pending Developer Response.","Step 5 of 9; review pending routing from other stations (currently with BLDG- step/station 2, Planning-step/station 3, and SFFD-step/station 4)

Emergency permit 18ECN-0042 expired on 02.01.2018. Inspector indicates not all affected lanes were paved. Marked and measured on 08.30.2019. Permits 18EXC-0421, 18N-0027 closed or expired.","Step 6 of 9; review pending routing from other stations (currently with BLDG- step/station 2, Planning-step/station 3, and SFFD-step/station 4)",No MOD Review as there will not be City or Public Funding (Erin Carson confirmed at the 01/16/20 meeting),Developer to respond to BLDG and SFFD Comments.
24,OEWD,PLUMBER'S UNION,"Building A

1629 Market Street/ 3505-032",190,190,"PARTIALLY DEMOLISH (E) BLDG. RETAINING THE HISTORIC MARKET ST FACADE & CONSTRUCT A 9 STORY RESIDENTIAL BLDG WITH GROUND LEVEL RETAIL & ONE LEVEL BELOW GRADE PARKING GARAGE. (LOTS 32/35); 190 market-rate units, 6,600 SF ground-level retail",Site Permit,201901039599,03/15/19,2019-08-15T00:00:00.000,Site Permit open at step 9 (PW-BSN) of 12,Start of Construction Winter 2020,"Site Permit approved by Planning on 4/23/19

Reassigned to Linda Ajello-Hoagland. Why?

Kate Conner to review and resolve as of 01/16/20.","Site Permit approved by DBI on 08/22/19

As of 01/16/20, can Addenda be submitted before site permit issuance?",Site permit approved by SFFD on 7/22/19 and on 10/01/19,"Site Permit approved by DPW-BSM on 7/23/19.

Assigned to Clinton Choy on 12/19/19. Why?

Javier Rivera to review and resolve as of 01/16/20.


Need resolution on Transformer Vault Locations.

Permit 19IE-00773, 774, 777 and 19V-00037. Awaiting revisions. Comments sent on 11.13.2019.",Siter Permit approved on 12/13/19,-,-
25,OEWD,PLUMBER'S UNION,"Building D

1125 Stevenson Street/ 3505-008",64,64,"TO ERECT A TYPE-1A, 9-STORY WITH ONE BASEMENT, 64-UNIT RESIDENTIAL, ASSEMBLY & PARKING; 64 market-rate units",Site Permit,201811145895,03/15/19,2019-08-15T00:00:00.000,"Site Permit open at step 3 (BLDG), step 5 (DPW-BSM), step 5 (SFFD) and step 6 (SFPUC) of 9/10",Start of Construction Winter 2020,Site permit approved 4/23/19,"Routed to BLDG on 04/23/19. Assigned to Howard Zee. Review began on 05/17/19. Comments issued on 06/12/19, pending Developer Response.","SFFD Comments from Kamal Andrawes sent to Developer on 07/09/19, pending Developer Response","""In hold"" since 07/11/19, pending Developer Response and Permit Application Submittal

Permit 19IE-00776 in Applicant status. Awaiting plan revisions. Comments sent 10.31.2019.
Vault permit applied for on 11.07.2019 and is awaiting BSM's review.","SFPUC comments provided on 07/12/19, pending Developer Response",-,"Developer needs to respond to SFPUC RFI, SFFD Comments, BLDG Comments, and needs to submit necessary Public Works permit applications"
26,OEWD,PLUMBER'S UNION,"Building B

1621 Market Street/ 3505-032A",185,185,"MAYOR DIR 17-02. TO ERECT 9 STORIES, 1 BASEMENT, TYPE I-A, 185 RESIDENTIAL UNITS, WITH RETAIL & PARKING. (R-2, M, S-2)",Site Permit,201905019456,05/15/19,2019-10-15T00:00:00.000,Site Permit open at step 3 (BLDG) and step 4 (SFFD) of 10,Start of Construction Winter 2020,Planning routed to BLDG on 08/29/19; will need to review at final routing,"Site Permit routed to DBI on 08/29/19. Carey McElroy began review on 09/30/19.

Comments issued on 11/05/19, pending Developer Response.","Kamal Andrawes began review on 09/19/19.

Comments issued on 09/24/19, pending developer response.","Routed to BSM on 11/26/19, site permit approval on 12/03/19.

Permit 19IE-00774 is in applicant status. Awaiting Master plan set of plans. Comment sent on 11.13.2019. 
Accompanying vault permit 19V-00038 in same status.",Routed to SFPUC on 12/04/19. Assigned to Jobel Garcia on 12/17/19. SFPUC RFI on 12/17/19.,-,"Developer needs to respond to SFFD Comments, SFPUC RFI, and BLDG Comments."
27,OEWD,PLUMBER'S UNION,"H-1 (415 Natoma)

n/a (670,000 SF Office)   415 Natoma/ 3725-008",-,-,"ERECT (N) 25-STORY COMMERCIAL BUILDING. MERGE LOT #005,006,008,009,098,012; 670,000 square feet office",Addendum 1: Foundation & Tower Crane,201806293425,08/08/19,-,"Addendum 1 open at step 2 (BLDG) of 5; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019",-,Status of Howard Zee's review: Pending EDRT Panel Determination and resolution of 12/30/19 comments. EDRT Completed. James Zhan following up with Howard Zee on status of review and approval as of 01/16/20.,-,"Routed to Rassendyll Dennis on 12/30/19, on-hold on 12/31/19.

Permit 19MSE-00387 approved on 08.02.2019.
Parking permit 19ADS-00096 is awaiting SFMTA review. Comments/request sent on 09.19.2019.
Excavation permit 19E-00853 expired on 08.26.2019.",-,-,Developer to respond to Howard Zee Comments and respond to BSM Permit Requirements.
28,OEWD,PLUMBER'S UNION,"H-1 (415 Natoma)

n/a (670,000 SF Office)       415 Natoma/ 3725-008",-,-,"ERECT (N) 25-STORY COMMERCIAL BUILDING. MERGE LOT #005,006,008,009,098,012; 670,000 square feet office",Addendum 2: Superstructure,201806293425,08/08/19,-,"Addendum 2 open at step 2/3 (BLDG) of 5; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019",-,Status of Howard Zee's review: Pending EDRT Panel Determination,-,"Step 3 of 5; review pending routing from other stations (currently with BLDG-step/station 3)

Permit 19MSE-00387 approved on 08.02.2019.
Parking permit 19ADS-00096 is awaiting SFMTA review. Comments/request sent on 09.19.2019.
Excavation permit 19E-00853 expired on 08.26.2019.",-,-,Information provided to EDRT Panel.
29,OEWD,5 M,"H-1 (415 Natoma)

n/a (670,000 SF Office)       415 Natoma/ 3725-008",-,-,"ERECT (N) 25-STORY COMMERCIAL BUILDING. MERGE LOT #005,006,008,009,098,012; 670,000 square feet office",Addendum 3: Architectural & MEP,201806293425,08/08/19,2020-05-08T00:00:00.000,"Addendum 3 open concurrently at step 2 (BLDG) and Step 4 (SFFD) of 10; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019",Step 7 of 9; review pending routing from other stations,"Routed to BLDG on 10/02/19.

Howard Zee issued comments on 11/20/19.

MECH (Peter Jia Jian Tan) and MECH-E (Godfrey De La Torre) comments provided on 10/08/19 and 10/25/19 respectively.","Marcus Berona review started on 09/27/19.

Comments issued on 12/12/19","Routed to BSM on 11/21/19.

Clinton Choy started review on 11/27/19 and issued comments on 12/03/19. Pending Developer response.

Permit 19MSE-00387 approved on 08.02.2019.
Parking permit 19ADS-00096 is awaiting SFMTA review. Comments/request sent on 09.19.2019.
Excavation permit 19E-00853 expired on 08.26.2019.",Routed to SFPUC on 12/03/19. Bill Tom assigned on 12/3/19. Comments issued on 12/13/19.,-,"Developer needs to respond to MECH and MECH-E comments, BLDG comments, BSM comments, SFFD comments, and SFPUC comments."
30,OEWD,5 M,"M-2 (434 Minna)

434 Minna/ 3725-090",302,91,"TO ERECT A TYPE 1-A, 21 STORY, 302 UNIT MIXED USE BUILDING (RETAIL, RESIDENTIAL & PARKING) WITH 2 BASEMENT LEVELS. (BUILDING WILL BE ON 3 LOTS: 089,090 & 091.); 91 BMR units (100%, 120% and 150% AMI)",Addendum 1: Foundation & Tower Crane,201808066535,08/08/19,-,"Addendum 1 open at step 2 (BLDG) of 5; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019",-,"Min Chen begin review on 10/02/19.

Comments issued on 11/06/19 for third-party peer review.

Review pending EDRT.

Phillip Wong to check with Taras Madison on Status of Peer Review contract with Shah Vahdani as of 01/16/20.",-,"Routed to BSM on 11/06/19.

Approval pending BLDG sign-off.
Tank removal permit 19TE-00076 approved on 12.04.2019.
Permit 19MSE-00507 approved on 08.05.2019.",-,-,-
31,OEWD,5 M,"M-2 (434 Minna)

434 Minna/ 3725-090",302,91,"TO ERECT A TYPE 1-A, 21 STORY, 302 UNIT MIXED USE BUILDING (RETAIL, RESIDENTIAL & PARKING) WITH 2 BASEMENT LEVELS. (BUILDING WILL BE ON 3 LOTS: 089,090 & 091.); 91 BMR units (100%, 120% and 150% AMI)",Addendum 2: Superstructure,201808066535,08/08/19,-,"Addendum 2 open at step 2/3 (BLDG) of 5; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019",-,"Min Chen begin review on 10/03/19.

Comments issued on 11/06/19 for third-party peer review.

Review pending EDRT.

Phillip Wong to check with Taras Madison on Status of Peer Review contract with Shah Vahdani as of 01/16/20.",-,"Routed to BSM on 11/06/19.

Approval pending BLDG sign-off.
Tank removal permit 19TE-00076 approved on 12.04.2019.
Permit 19MSE-00507 approved on 08.05.2019.",-,-,Developer would like to hold a kick-off meeting with peer reviewer.
32,OEWD,5 M,"M-2 (434 Minna)

434 Minna/ 3725-090",302,91,"TO ERECT A TYPE 1-A, 21 STORY, 302 UNIT MIXED USE BUILDING (RETAIL, RESIDENTIAL & PARKING) WITH 2 BASEMENT LEVELS. (BUILDING WILL BE ON 3 LOTS: 089,090 & 091.); 91 BMR units (100%, 120% and 150% AMI)",Addendum 3: Architectural & MEP,201808066535,08/08/19,2020-05-08T00:00:00.000,"Addendum 3 open concurrently at step 2 (BLDG) and Step 3 (MECH) of 9; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019","Step 7 of 10; review pending routing from other stations (currently with BLDG-step/station 2, MECH-step/station 3, and MECH-E-step/station 4)","Carey McElroy began BLDG review on 09/18/19; Comments issued on 10/24/19.

Shaikh Mohsin started MECH review on 10/16/19; Comments issued on 11/04/19

David Delos Santos started MECH-E review on 11/04/19; when will comments be issued?","Routed to SFFD on 12/11/19.

Kamal Andrawes began review on 01/08/20. When will comments be issued?","Step 5 of 10; review pending routing from other stations (currently with BLDG-step/station 2, MECH-step/station 3, and MECH-E-step/station 4)

Tank removal permit 19TE-00076 approved on 12.04.2019.
Permit 19MSE-00507 approved on 08.05.2019.","Step 6 of 10; review pending routing from other stations (currently with BLDG-step/station 2, MECH-step/station 3, and MECH-E-step/station 4)",-,"Developer needs to respond to DBI comments sent on 10/24/19, and MECH comments sent on 11/4/19."
33,OEWD,5 M,"Mary Court East

n/a (~11,500 SF Open Space)            425 Minna/ 3725-124",-,-,"AT LOG 124, 130 & 131. MARY COURT EAST, PUBLIC PARK INCLUDES, LAWN, RHISED TERRAGE, DOG RELIEF AREA, CHILDREN PLAY AREA, PLANTERS & TREES.",Site Permit,201908098442,08/16/19,2020-01-16T00:00:00.000,Site Permit open at Step 1 (PLANNING) of 7,"Start of Construction June 28, 2019","Routed on 08/16/19. Pending Developer response on D4D Compliance and other comments sent on 10/04/19, expected January 2020.",Step 3 of 7; review pending routing from other stations,Step 4 of 7; review pending routing from other stations,"Step 5 of 7; review pending routing from other stations

No permits or applications on file with BSM.",-,-,Brookfield needs to respond to 10/04/19 Planning comments; Brookfield responded to comments on 11/25/19. Further response expected in January 2020.
34,OEWD,5 M,"Mary Court West

n/a (~14,600 SF Open Space)            44 Mary/
3725-127",-,-,"AT LOG 125, 126 & 127. MARY COURT WEST, PUBLIC PARK INCLUDES, LAWN, RHISED TERRAGE, CHILDREN PLAY AREA, PLANTERS & TREES.",Site Permit,201908098446,08/16/19,2020-01-16T00:00:00.000,Site Permit open at Step 1 (PLANNING) of 7,"Start of Construction June 28, 2019","Routed on 08/16/19. Pending Developer response on D4D Compliance and other comments sent on 10/04/19, expected January 2020.",Step 3 of 7; review pending routing from other stations,Step 4 of 7; review pending routing from other stations,"Step 5 of 7; review pending routing from other stations

Street improvement permit 18IE-0725 is in Applicant status. Awaiting plan revisions. Meeting was scheduled around 10.26.2018  with 5M Project Team to discuss projectplan and phasing.",-,-,Brookfield needs to respond to 10/04/19 Planning comments; Brookfield responded to comments on 11/25/19. Further response submittedon 01/15/20.
35,OEWD,5 M,"(Full DA project is single building)

1830 Alemany / 6954-039",116,58,"ERECT A 5 STORY,2 BASEMENT, 116 DWELLING RESIDENTIAL/APARTMENT/OFFICE BLDG TYPE 3-A.",Site Permit,201905241706,5/24/19,2019-10-24T00:00:00.000,Site Permit issued 9/16/19,-,Site permit approved 6/27/19.,"BLDG ""finish"" 7/16/19.",Approved 8/14/19.,"Approved SITE Permit only 8/15/19: ADDENDUM requirement(s) for sign off: Street Improvement (New curb cut and ADA ramp at Alemany Blvd), BUF (new tree planting) .

Permit 19IE-00840 and 19MSE-00733 is in applicant status. Awaiting plan revisions. Comments sent on 11.13.2019.",Approved 8/28/19.,-,Groundbreaking ceremony 9/19/2019
36,OEWD,5 M,"(Full DA project is single building)

1830 Alemany / 6954-039",See site permit,See site permit,"ERECT A 5 STORY,2 BASEMENT, 116 DWELLING RESIDENTIAL/APARTMENT/OFFICE BLDG TYPE 3-A.",Addendum 1: Shoring,201905241706,10/10/19,-,"Addendum 1 (Shoring) issued 1/10/2020; 

Site Permit issued on 9/16/19",Shoring work in construction.,-,BLDG APPROVED 10/17/2019.,-,"APPROVED 1/9/2020.
Subject to all conditions of PUBLIC WORKS/BSM: #19MSE-00733 and 19IE-00840 BUF RD.",-,-,Project sponsor working on archeology MMRP items with Planning.
37,OEWD,1830 Alemany/915 Cayuga,"(Full DA project is single building)

1830 Alemany / 6954-039",See site permit,See site permit,"ERECT A 5 STORY,2 BASEMENT, 116 DWELLING RESIDENTIAL/APARTMENT/OFFICE BLDG TYPE 3-A.",Addendum 2: Foundation & Superstructure Framing,201905241706,11/8/19,-,"Addendum 2 (Foundation & Superstructure Framing) open at step 7 (PPC) of 8; 

Site Permit issued on 9/16/19",-,-,BLDG APPROVED 2/4/2020.,-,"APPROVED 2/4/2020.
Subject to all conditions of PUBLIC WORKS/BSM: #19MSE-00733 and 19IE-00840 BUF RD.",-,-,Project sponsor working on archeology MMRP items with Planning.
38,OEWD,1831 Alemany/915 Cayuga,"Phase 1
(Parcel 1)

2201 Bayshore / 5087-003",146,29,"ERECT (N) 5-STORY (1) BASEMENT, TYPE II, 146 DWELLING UNITS W/ MIXED-USE BUILDING (R-2,S-2 & A-3)",Site Permit,201912189909,12/18/19,2020-05-18T00:00:00.000,Site Permit open at Step 2  (PLANNING) of 10,Start of construction November 2020,Completeness check and zoning review in progress,-,-,-,-,-,-
39,OEWD,1832 Alemany/915 Cayuga,"Phase 1
(Parcel 2)

2401 Bayshore / 5087-003A",153,TBD,"ERECT (N) 7-STORY (1) BASEMENT, TYPE II, 152 DWELLING UNITS W/ MIXED-USE BUILDING (R-2,A-3,B,S-2,S-1)**MAHER APPLICABLE**",Site Permit,201912189911,12/18/19,2020-05-18T00:00:00.000,Site Permit open at Step 2  (PLANNING) of 10,Start of construction November 2020,Completeness check and zoning review in progress,-,-,-,-,-,-
40,OEWD,Schlage Lock/Visitacion Valley,"Phase 1
(Parcel 3)

2445 Bayshore / 5099-014",259,TBD,"ERECT (N) 7-STORY (1) BASEMENT, TYPE II, 258 DWELLING UNITS W/ MIXED-USE BUILDING (R-2,A-3,S-2,B & S-1)**MAHER APPLICABLE**",Site Permit,201912189912,12/18/19,2020-05-18T00:00:00.000,Site Permit open at Step 2  (PLANNING) of 10,Start of construction November 2020,Completeness check and zoning review in progress,-,-,-,-,-,-
41,OEWD,Schlage Lock/Visitacion Valley,"Phase 1 / Parcel E2 

185 Maryland Street/ 4116-008",282,56,"CONSTRUCT 7-STORY,1 BASEMENT, TYPE 1A, IIIA, 277 DWELLING UNITS AND COMMERCIAL, MIXED USE HOUSING BUILDING, IN CONFORMANCE TO THE PIER 70 DESIGN FOR DEVELOPMENT.",Site Permit,201812208889,2018-12-24T00:00:00.000,Issued 7/19/10 by DBI,"Issued 7/19/10 by DBI

Revision approved and issued 10/29/19

11/4/2019 2 sets to SFFD-PRT to review. 

Now with PRT for site control, mit measures. 12/20/19: Plans @ SFFD-PRT (final payment pending)",Construction start Q1 2020,Design approved per Vertical improvement schematic.7/15/2019. MOU form stamped 7/23/2019,"John Finnegan
Approved site plan 7/18/2019; 

Approved site plan revisions 9/26/2019 

Approved site plan revisions 10/29/2019",Ray Poydessus,will need seperate SI permit showing finished floor and utility laterals that matches infrastructure permit.,"Bill Tom

Reviewed and assessed 7/19/2019

Restamped ""Not enough changes to affest previous assessment"" on 9/30/2019",,Site Control Side Letter required prior to issuance of permit by Port. Waiting on execution of transaction documents
42,OEWD,Schlage Lock/Visitacion Valley,"Phase 1 / Parcel E2 

185 Maryland Street/ 4116-008",282,56,"CONSTRUCT 7-STORY,1 BASEMENT, TYPE 1A, IIIA, 277 DWELLING UNITS AND COMMERCIAL, MIXED USE HOUSING BUILDING, IN CONFORMANCE TO THE PIER 70 DESIGN FOR DEVELOPMENT.",Addendum #1 - Foundations,201812208889,7/30/19,-,"12/20/19: On HOLD @ PPC pending final payment before release; HP 12/18/19: MOU approval letter received, plans on HOLD @ PPC pending final payment & Site Permit approval before release; HP 12/17/19: On HOLD @ PPC pending MOU approval letter from Howard Zee",Construction start Q1 2020,-,Recheck approved 12/11/19 Howard Zee,-,"Approved. 12/16/19: Condition upon future Street Improvement, and as appropriate Minor Sidewalk and Vault encroachment per Public Works Task Force. -Clinton Choy",-,-,Port sent letter on topographical survey issue.
43,PORT,Pier 70,"Phase 1 / Parcel E2 

185 Maryland Street/ 4116-008",282,56,"CONSTRUCT 7-STORY,1 BASEMENT, TYPE 1A, IIIA, 277 DWELLING UNITS AND COMMERCIAL, MIXED USE HOUSING BUILDING, IN CONFORMANCE TO THE PIER 70 DESIGN FOR DEVELOPMENT.",Addendum #2 Superstructure,201812208889,9/27/2019,-,10/31/19: To MEGA HOLD 1B pending BLDG & BSM approval; BLDG has issued comments; BSM able to move forward?,Construction start Q1 2020,-,"Comments Issued 10/30/2019

Howard Zee",-,"On hold. 10/31/19: Sign off after BLDG approval. Need SI permit according to note. 
Clinton Choy",-,-,-
44,PORT,Pier 70,"Phase 1 / Parcel E2 

185 Maryland Street/ 4116-008",282,56,"CONSTRUCT 7-STORY,1 BASEMENT, TYPE 1A, IIIA, 277 DWELLING UNITS AND COMMERCIAL, MIXED USE HOUSING BUILDING, IN CONFORMANCE TO THE PIER 70 DESIGN FOR DEVELOPMENT.",Addendum #3 - Arch/MEP,201812208889,7/30/19,2020-04-30T00:00:00.000,-,Construction start Q1 2020,-,"John Finnegan  - Approved Addendum 2.2.20

Jeff Lai (Mech): 1/06/20:recheck #1, incomplete plans back to John's cubicle

1/10/20 reassigned to Justin Chen. Godfrey De La Torre (Mech-E):08/29/19: Electrical comments have been emailed to the Applicant. 1 set (Vols. 1 & 2) of plans have been routed to PPC with Comments (by GD).",2/10/20: To SFFD-PRT,-,-,-,-
45,PORT,Pier 70,Phase 1/ Building 12,-,-,Retail/Office/PDR,Site Permit,B-2018-0343,-,-,-,-,-,-,-,-,-,-,-
46,PORT,MISSION ROCK,Phase 1/ Building 12,-,-,Retail/Office/PDR,"Addendum #1 - Demo, Excavation, Foundation",B-2019-0137,-,-,-,-,-,-,-,-,-,-,-
47,PORT,MISSION ROCK,Phase 1/ Building 12,-,-,Retail/Office/PDR,Addendum #2 - Shoring,B-2019-0175,-,-,-,-,-,-,-,-,-,-,-
48,PORT,MISSION ROCK,Phase 1/ Building 12,-,-,Retail/Office/PDR,Addedum #3- Arch MEP STR,B-2019-0173,-,-,-,-,-,-,-,-,-,-,-
49,PORT,MISSION ROCK,Phase 1/ Building 12,-,-,Retail/Office/PDR,Building 12 - Deferred Submittal Fire Service,B-2019-0244,-,-,-,-,-,-,-,-,-,-,-
50,PORT,MISSION ROCK,Phase 1/ Building 2,-,-,Residential Rental,preapp,-,-,-,-,-,-,-,-,-,-,-,-
51,PORT,MISSION ROCK,"Phase  0 / Parcel K North (Residential)

919 Illinois/ 4110 - 001",270,0,"6-STORY, TYPE 1B, 1-BASEMENT MIXED USE BUILDING W/ 241 RESIDENTIAL UNITS, GROUND LEVEL LOBBY, RETAIL AND COMMERCIAL SPACE. (PORT SITE PERMIT B-2019-0321)",Site Permit,201911258098,11/25/2019,2020-04-25T00:00:00.000,-,Construction Start Q3 2020,Not yet assigned,"2/7/2020: RE-ASSIGNED TO DAVID JONES

Assigned to Diane Yin 1/7/2020",Not yet assigned (will be PRT-FIRE),Not yet assigned,Not yet assigned,-,-
52,PORT,MISSION ROCK,Phase 1 / Parcel A                                          88 Maryland / 4111-009,-,-,"CONSTRUCTION & DEVELOMENT OF 6-STORY GROUND UP SPECULATIVE CLASS OFFICE BLDG OF ROUGHLY 356,000 SQ FT (OVER 6 FL & 1 BASEMENT) & SUBTERANEAN PARKING. LIMITED BLDG AMENITY SPACES INCLUDED AS PART OF C&S CONSTRUCTION.",Site Permit,201908300403,8/30/19,2020-01-30T00:00:00.000,-,-,-,Diane Yin 12/19/2019: rechecked with balance comments. plans at Port Fire,Jason Woo - comments sent to Lt. Ray Poydessus to review on 1/9/20,Not yet assigned,Not yet assigned,-,-
53,PORT,MISSION ROCK,"Phase  1 / Parcel A 

Seawall Lot 337",294,118,"240-foot residential apartment building with 49,000 square feet of office space and ground floor retail",Site Permit,201910073782,2019-10-09T00:00:00.000,2020-03-09T00:00:00.000,"12/20/19: 2 set to MEGA HOLD 1 pending BLDG, SFFD-PRT & PUC approvals (then DCP)",Construction Start Q2 2020. Developer Targeting Site Permit Approval by 3/27/20,Michael Christensen,"Arrived to Howard Zee on 10/9/2019, Started 10/31/2019, Comments issued and placed in Hold on 11/22/2019","Assigned to Kamal Andraws on 10/9/19, started on 11/26/2019","Assigned to Clinton Choy on 12/2/2019. Note on 12/4/2019 says ""n/a - Port Jurisdiction""",Jobel Garcia Requested additional information and pdfs from Architect/Designer. Route to PPC for next agency review then back to PUC. -12/17/19,n/a,Port/DBI MOU applies
